"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","SF_ID","EXTERNAL_ID","ERROR"
"255.0","8952","Digital Banking","Digital Banking","UMKM","Servicing","Senyum Mobile","Platform & Device Support","Aplikasi SenyuM Mobile","","1.0","","0","","No Change","Propose to Delete","Very Low","0 ~ 2","0.0","10.0","New Case Type -","","1.0","","","","2.0","8.0","","","","","","","","11.0","10.0","","DCE","","","","n.a","","Electronic Banking","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Delivery Channel - Phone banking","PB","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","255.0-8952","Id not specified in an update call"
"256.0","8953","Digital Banking","Digital Banking","UMKM","Savings","Deposito","Complaint - Non-Transaction","Tabungan Emas via SenyuM Mobile","Nasabah Komplain Gagal Pembukaan Rekening Tabungan Emas atau Gagal Top Pp Namun Saldo Terdebet","0.0","","0","","No Change","Propose to Deleted: Include ke 8952 Breakdown","Very Low","0 ~ 2","1.0","10.0","New Case Type - Perlu konfirmasi dengan Team Terkait DDB & UMI","","1.0","","","","2.0","8.0","","","","","","","","11.0","10.0","","DCE","","","","n.a","","Electronic Banking","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Delivery Channel - Phone banking","PB","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","256.0-8953","Id not specified in an update call"
"257.0","8985","Resolution Center","Service & Contact Center - CCT","UMKM","Transaction Banking","Merchant Solutions","Inquiry","Informasi Status Transaksi Merchant","","0.0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0.0","14.0","Merge to 8620","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","n.a","","","","","","Lainnya","XX","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","","257.0-8985","Id not specified in an update call"
"267.0","8106-1*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","Claim yang belum terbayarkan ke nasabah","Nasabah Komplain Claim DPLK Belum Terbayarkan, Nasabah Menanyakan Terkait Progress Perubahan Jenis Investasi","0.0","","0","","No Change","","Very Low","0 ~ 2","0.0","0.0","New Case Type -","","1.0","","","","9.0","","","","","","","","","10.0","9.0","","","","","","n.a","","","","","","","","","","","267.0-8106-1*","Id not specified in an update call"
"270.0","8106-2*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","Penarikan sebagian yang belum terbayarkan ke nasabah","Nasabah Komplain Penarikan Sebagian Belum Terbayarkan","1.0","","0","","No Change","","Very Low","0 ~ 2","10.0","10.0","New Case Type -","","1.0","","","","9.0","","","","","","","","","10.0","9.0","","","","","","n.a","","","","","","","","","","","270.0-8106-2*","Id not specified in an update call"
"271.0","8106-3*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","Dana pengalihan DPLK belum masuk","Nasabah Komplain Dana Pengalihan Masuk/Keluar Belum Berhasil","1.0","","0","","No Change","","Very Low","0 ~ 2","10.0","10.0","New Case Type -","","1.0","","","","9.0","","","","","","","","","10.0","9.0","","","","","","n.a","","","","","","","","","","","271.0-8106-3*","Id not specified in an update call"
"272.0","8106-4*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","DPLK sudah close namun iuran Rutin masih tertagih (possible to delete)","Nasabah Komplain Iuran DPLK Belum Masuk ke Rekening DPLK","0.0","","0","","No Change","","Very Low","0 ~ 2","0.0","0.0","New Case Type -","","1.0","","","","5.0","","","","","","","","","6.0","5.0","","","","","","n.a","","","","","","","","","","","272.0-8106-4*","Id not specified in an update call"
"273.0","8106-5*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Request","Pengiriman Ulang Portofolio/E-Statement DPLK","Nasabah Mengajukan Pengiriman Ulang Portfolio/E-Statement DPLK","0.0","","0","","No Change","","Very Low","0 ~ 2","1.0","1.0","New Case Type - Menunggu Kewenangan dari INV","","1.0","","","","","","","","","","","","","1.0","0.0","","","","","","n.a","","","","","","","","","","","273.0-8106-5*","Id not specified in an update call"
"274.0","8106-6*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Request","Nasabah Mengajukan bukti potong pajak pembayaran DPLK","Nasabah Mengajukan bukti potong pajak pembayaran DPLK","0.0","","0","","No Change","","Very Low","0 ~ 2","1.0","1.0","New Case Type - Menunggu Kewenangan dari INV","","1.0","","","","","","","","","","","","","1.0","0.0","","","","","","n.a","","","","","","","","","","","274.0-8106-6*","Id not specified in an update call"
"304.0","TRB-18","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Request","Nasabah Mengajukan Kenaikan Limit","Nasabah Mengajukan Kenaikan Limit","0.0","","0","","No Change","Propose to Delete","Very Low","0 ~ 2","0.0","0.0","New Case Type -","","1.0","","","","1.0","","","","","","","","","2.0","1.0","","","","","","n.a","","","","","","","","","","","304.0-TRB-18","Id not specified in an update call"
"326.0","TRB-38","Transaction Banking","Transaction Banking","Korporasi","Servicing","Cash Management","Complaint - Transaction","Nasabah Komplain Perbedaan Exchange Rate Pada Saat Transaksi Pembelian Valuta Asing","Nasabah Komplain Perbedaan Exchange Rate Pada Saat Transaksi Pembelian Valuta Asing","0.0","","0","","No Change","Proposed to delete","Very Low","0 ~ 2","0.0","0.0","New Case Type -","","1.0","","","","1.0","","","","","","","","","2.0","1.0","","","","","","n.a","","","","","","","","","","","326.0-TRB-38","Id not specified in an update call"
"5.0","1007","Digital Banking","Digital Banking","Individu Umum","Loans","KTA - Digital","Fraud / Suspicious Transactions","CERIA - Permintaan Blokir karena transaksi mencurigakan","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","2.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","","","","","","","","","","","","5.0-1007","Id not specified in an update call"
"21.0","1039","Digital Banking","Digital Banking","Individu Umum","Loans","KTA - Digital","Complaint - Transaction","CERIA - Komplain Transaksi Tertagih 2 Kali","","0.0","Yes","Yes","No","No Change","","Low","3 ~ 5","3.0","1.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","","","","","","","","","","","","21.0-1039","Id not specified in an update call"
"22.0","1040","Resolution Center","Service & Contact Center - CCT","Individu Umum","Loans","KTA - Digital","Complaint - Transaction","CERIA - Lainnya (proposed to change into specific case)","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","","","","","","","","","","","","22.0-1040","Id not specified in an update call"
"24.0","1102","Resolution Center","Service & Contact Center - CRS","All","All","All","Request","Menanyakan Pengiriman dok / Data Tambahan (follow up permintaan dokumen )","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","1.0","Proposed to delete embbed with specific case type","T2.1 - CRS","1.0","1.0","","","","","","","","","","","","2.0","1.0","","KKD-AKK-SSU","","","","","","","","","","","","","","","24.0-1102","Id not specified in an update call"
"25.0","1200","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Pembatalan Aplikasi (produk kartu kredit)","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","14.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CRI-APLIK","","","","","","","","","","","","","","","25.0-1200","Id not specified in an update call"
"31.0","1212","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Aktivasi kartu Kredit yang sudah lebih dari 6 bulan","Nasabah Mengajukan Aktivasi Kartu Kredit yang Sudah Lebih dari 6 Bulan","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","3.0","Proposed to delete menunggu surat dari divisi CDD/SCD","T3.1 - CDD","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CRI-DATAM","","","","","","","","","","","","","","","31.0-1212","Id not specified in an update call"
"54.0","1820","Resolution Center","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Inquiry","Penukaran Poin Kartu Kredit","","0.0","Yes","No","No","Move to Resolution Center","","High","11 ~ 15","11.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-PBK-KKPBK","","","","","","","","","","","","","","","54.0-1820","Id not specified in an update call"
"66.0","2301","Resolution Center","Service & Contact Center - CCT","Individu Umum","Loans","Kartu Kredit","Platform & Device Support","Transaksi Kartu Kredit ditolak karena sistem Eror","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","66.0-2301","Id not specified in an update call"
"97.0","4217","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Pengkinian data QRIS KK - Normal","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","4.0","14.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CRI-DATAM","","","","","","","","","","","","","","","97.0-4217","Id not specified in an update call"
"99.0","4303","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Complaint - Non-Transaction","Pengiriman Billing Statement Kartu Kredit","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2.0","5.0","Proposed to delete","T3.1 - CDD(OPS Delivery), T5.1 - Vendor","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-OPS-DELIVERY","","","","","","","","","","","","","","","99.0-4303","Id not specified in an update call"
"110.0","5301","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Layanan Proses Kartu Add On Kartu kredit","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","3.0","5.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CRI-LIMIT","","","","","","","","","","","","","","","110.0-5301","Id not specified in an update call"
"122.0","6404","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Penutupan Kartu Kredit dengan Tagihan Menunggak","Nasabah Menunggak Mengajukan Penutupan Kartu Kredit","0.0","Yes","Yes","No","No Change","","Medium","6 ~ 10","5.0","14.0","Proposed to Delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CLL-HC","","","","","","","","","","","","","","","122.0-6404","Id not specified in an update call"
"139.0","8002","Resolution Center","Service & Contact Center - CCT","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Third Party Support","Bansos - KPM Gagal Tarik Tunai di E-Channel","","0.0","Yes","No","No","Move to Resolution Center","","Extremely High","21 ~ 70","25.0","10.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTNIK","","","","","","","","","","","","","","","139.0-8002","Id not specified in an update call"
"158.0","8206","Resolution Center","Service & Contact Center - CCT","UMKM","Loans","KUR","Third Party Support","Bantuan bagi Pelaku Usaha Mikro / BPUM","","0.0","Yes","No","No","Move to Resolution Center","","Medium","6 ~ 10","9.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTNIK","","","","","","","","","","","","","","","158.0-8206","Id not specified in an update call"
"160.0","8208","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Complaint - Non-Transaction","Cleansing kartu Debit menjadi Ber Chip","","1.0","Yes","No","No","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","160.0-8208","Id not specified in an update call"
"163.0","8219","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Complaint - Non-Transaction","Transaksi Dengan Debit Card Ditolak","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","4.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","163.0-8219","Id not specified in an update call"
"170.0","8402","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Complaint - Non-Transaction","Kartu ATM Selalu Gagal Apabila Digunakan Transaksi","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","RPT-MCH","","","","","","","","","","","","","","","170.0-8402","Id not specified in an update call"
"181.0","8417","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Debit Card","Inquiry","Nasabah Bank Lain Terdebet di ATM BRI (duplikasi dengan call type 8420)","","0.0","Yes","No","No","Move to Resolution Center","Stay in NFT","Extremely High","21 ~ 70","26.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","181.0-8417","Id not specified in an update call"
"184.0","8420","Resolution Center","Service & Contact Center - CCT","Individu Priority & Private","Loans","Kartu Kredit","Inquiry","Informasi Nasabah Bank Lain Terdebet di ATM BRI","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","184.0-8420","Id not specified in an update call"
"185.0","8421","Resolution Center","Service & Contact Center - CRS","All","All","All","Complaint - Non-Transaction","Tidak Bisa Melakukan Registrasi Layanan yang Ada di BRI","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","185.0-8421","Id not specified in an update call"
"200.0","8444","Resolution Center","Service & Contact Center - CRS","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Third Party Support","Nasabah Bank Lain / Merchant Salah Transfer ke BRI","Nasabah Bank Lain Mengajukan Pengembalian Dana (Refund) akibat Salah Transfer ke BRI","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","10.0","Proposed to delete","T2.1 - CRS, T2.2 - Branch, T3.1 - NFT","1.0","1.0","1.0","","3.0","","","","","","","","","6.0","5.0","","LCC-CRC","","","","","","","","","","","","","","","200.0-8444","Id not specified in an update call"
"203.0","8504","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Inquiry","Kartu ATM Rusak","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","Proposed to Delete, masukan ke sub desc 8208","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","203.0-8504","Id not specified in an update call"
"205.0","8508","Resolution Center","Service & Contact Center - CCT","Individu Priority & Private","Loans","Kartu Kredit","Complaint - Non-Transaction","PIN Mailer Kartu Prioritas Tidak Jelas/ Bisa Digunakan /Belum Terima PIN","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","205.0-8508","Id not specified in an update call"
"206.0","8512","Resolution Center","Service & Contact Center - CCT","Individu Priority & Private","Loans","Kartu Kredit","Inquiry","Kartu ATM Terblokir Secara System","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","206.0-8512","Id not specified in an update call"
"207.0","8601","Resolution Center","Service & Contact Center - CRS","Individu Umum","Savings","Internet Banking","Platform & Device Support","Internet Banking ( sunset channel)","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","207.0-8601","Id not specified in an update call"
"212.0","8611","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Request","Pengkinian Data Merchant","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","1.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","212.0-8611","Id not specified in an update call"
"218.0","8617","Resolution Center","Funding & Retail Payment","UMKM","Merchant Solutions","Payment Solutions","Request","Merchant - Perangkat - Permintaan dokumen transaksi ke merchant","","0.0","Yes","No","No","Move to Resolution Center","","Extremely High","21 ~ 70","50.0","2.0","Proposed to delete","T2.1 - FST","1.0","2.0","","","","","","","","","","","","3.0","2.0","","RPT-MIM","","","","","","","","","","","","","","a1DMR00000009sv2AA","218.0-8617","duplicate value found: External_Id__c duplicates value on record with id: a1DMR00000009gm2AA"
"230.0","8629","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Complaint - Transaction","Merchant - Transaksi KK BRI/Kartu bank lain - Refund double posting (kendala system)","","0.0","Yes","No","No","Move to Resolution Center","","Very High","16 ~ 20","16.0","2.0","Proposed to delete","T2.1 - FST","1.0","5.0","","","","","","","","","","","","6.0","5.0","","RPT-MCO","","","","","","","","","","","","","","a1DMR00000009rJ2AQ","230.0-8629","duplicate value found: External_Id__c duplicates value on record with id: a1DMR00000009kx2AA"
"237.0","8703","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Request","Enable / Disable Kartu ATM (kartu debit)","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","237.0-8703","Id not specified in an update call"
"242.0","8709","Operational Risk","Operational Risk","Korporasi","Transaction Banking","Cash Management","Fraud / Suspicious Transactions","Investigasi Indikasi Fraud Internal","","0.0","Yes","Yes","No","No Change","","Extremely High","21 ~ 70","23.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-FBI","","","","","","","","","","","","","","","242.0-8709","Id not specified in an update call"
"246.0","8714","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Electronic Money","Complaint - Non-Transaction","Komplain BRIZZI Fuel Card","","0.0","Yes","No","No","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","3.0","5.0","Proposed to delete, Gabung dengan komplain BRIZZI","T2.1 - NFT","1.0","5.0","","","","","","","","","","","","6.0","5.0","","LCC-ISSUER","","","","","","","","","","","","","","","246.0-8714","Id not specified in an update call"
"247.0","8716","Operational Risk","Operational Risk","Korporasi","Transaction Banking","Cash Management","Fraud / Suspicious Transactions","Register Surat Bilateral Bank Lain (Penipuan)","","0.0","Yes","Yes","No","No Change","","Medium","6 ~ 10","6.0","20.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-FBI","","","","","","","","","","","","","","","247.0-8716","Id not specified in an update call"
"249.0","8802","Resolution Center","Service & Contact Center - CCT","Individu Umum","Investment","Bancassurance","Third Party Support","Permohonan Layanan Asuransi BRINS","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","1.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","249.0-8802","Id not specified in an update call"
"250.0","8803","Resolution Center","Service & Contact Center - NFT","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Complaint - Transaction","Nasabah BRI gagal Transfer & terdebet ke Rek BRI Syariah","","0.0","Yes","No","No","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","2.0","14.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-ISSUER","","","","","","","","","","","","","","","250.0-8803","Id not specified in an update call"
"260.0","8903","Resolution Center","Service & Contact Center - CRS","All","All","All","Third Party Support","Komplain Antar Bank","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","260.0-8903","Id not specified in an update call"
"261.0","8904","Resolution Center","Service & Contact Center - CRS","Individu Umum","Savings","Tabungan","Third Party Support","Komplain Perhimpunan Dana Lainnya ( komplain terkait program kerjasama)","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","261.0-8904","Id not specified in an update call"
"262.0","8910","Funding & Retail Payment","Funding & Retail Payment","Individu Umum","Savings","Giro","Complaint - Transaction","Komplain Kliring di Teller","","0.0","Yes","No","No","Move to Resolution Center","","Medium","6 ~ 10","7.0","5.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","SRK-RTGKL","","","","","","","","","","","","","","","262.0-8910","Id not specified in an update call"
"263.0","8911","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Mobile Banking","Complaint - Transaction","Komplain BRImo Payment","","0.0","Yes","No","No","Move to Resolution Center","Stay in NFT","Very High","16 ~ 20","16.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-ISSUER","","","","","","","","","","","","","","","263.0-8911","Id not specified in an update call"
"265.0","8914","Resolution Center","Service & Contact Center - CRS","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Platform & Device Support","Komplain Kios K (sunset channel)","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","265.0-8914","Id not specified in an update call"
"268.0","8918","Resolution Center","Service & Contact Center - CRS","All","All","All","Products / Promotion Inquiry","Produk Kerjasama Lainnya","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","8.0","Proposed to delete","T2.1 - CRS","1.0","1.0","","","","","","","","","","","","2.0","1.0","","LCC-CRC","","","","","","","","","","","","","","","268.0-8918","Id not specified in an update call"
"271.0","8926","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Pengaduan di Media Cetak - terkait Pembayaran","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","271.0-8926","Id not specified in an update call"
"272.0","8928","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Liputan Media Elektronik - terkait Pembayaran","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","272.0-8928","Id not specified in an update call"
"273.0","8929","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Publikasi/Tulisan Di Tempat Umum - terkait Pembayaran","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","273.0-8929","Id not specified in an update call"
"274.0","8930","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Publikasi Negatif Lainnya - terkait Pembayaran","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","274.0-8930","Id not specified in an update call"
"275.0","8931","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Pengaduan di Media Cetak - tidak terkait Pembayaran","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","275.0-8931","Id not specified in an update call"
"276.0","8933","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Liputan Media Elektronik - tidak terkait Pembayaran","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2.0","3.0","Proposed to delete","T2.1 - CRS","1.0","3.0","","","","","","","","","","","","4.0","3.0","","LCC-CRC","","","","","","","","","","","","","","","276.0-8933","Id not specified in an update call"
"284.0","8947","Digital Banking","Application & Operations","Individu Umum","Loans","KTA - Digital","Platform & Device Support","Pengajuan Briguna digital NIK Tidak Terdaftar","","0.0","Yes","No","No","Move to Resolution Center","","High","11 ~ 15","13.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","","","","","","","","","","","","284.0-8947","Id not specified in an update call"
"285.0","8948","Digital Banking","Application & Operations","Individu Umum","Loans","KTA - Digital","Platform & Device Support","Pengajuan Briguna Digital KTP/NPWP Tidak Sesuai atau Tidak Terbaca","","0.0","Yes","No","No","Move to Resolution Center","","Medium","6 ~ 10","5.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","DCE","","","","","","","","","","","","","","","285.0-8948","Id not specified in an update call"
"288.0","8981","Resolution Center","Service & Contact Center - CRS","All","All","All","Third Party Support","Other Partners (propose to delete)","","0.0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2.0","0.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","","","","","","","","","","","","288.0-8981","Id not specified in an update call"
"289.0","8982","Funding & Retail Payment","Funding & Retail Payment","UMKM","Merchant Solutions","EDC/QRIS","Complaint - Transaction","Transaksi QRIS Laporan dari Merchant","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1.0","4.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","RPT-MCO","","","","","","","","","","","","","","","289.0-8982","Id not specified in an update call"
