No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id
169,8404,TRUE,Funding & Retail Payment,Individu Umum,Servicing,Kartu Debit,Platform & Device Support,Gagal Transaksi Debit Online,Nasabah Komplain Gagal Transaksi Debit Online,,,,,No Change,,Very Low,0 ~ 2,1.0,1.0,,T3.1 - FST(TSC),1,,,1,,2,1,Done,RPT-IRM,,,,1B,Regular Banking,"Nasabah melaporkan gagal Transaksi Debit Online
 
 Sudah registrasi : BRImo atau belum (pilih salah satu)
 Nomor Handphone yang terdaftar : .....
 Nama Website transaksi : .....
 Tanggal transaksi :
 OTP : tidak terima/ terima (pilih salah satu)
 Respon : ......
 Keterangan : .....
 Agent menyarankan mengirim capture gagal transaksi debit online
 
 Mohon bantuan untuk tindaklanjut. Terima kasih",,8404
17,8405,TRUE,Resolution Center,Individu Umum,Servicing,Kartu Debit,Request,Kartu ATM BRI Tertelan di MESIN ATM (Nasabah request untuk blokir kartu),Nasabah Mengajukan Pemblokiran Kartu Debit,1.0,"1. Kartu Tertelan
2. Kartu Hilang",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Kartu Tertelan, Kartu Hilang",T1 - Agent CCT/Frontliner,1,,,,,1,,Done,LCC-CCTCALL,,,,1A,Regular Banking,"Nasabah mengajukan pemblokiran kartu ATM BRI
 Permintaan pemblokiran ATM BRI.
 Alasan pemblokiran : Tertelan/hilang
 Tanggal Tertelan/hilang : …
 Jam Tertelan/hilang : …
 Lokasi Kejadian (Mesin ATM Bank apa dan Lokasi) : …
 TID ATM (jika tertelan/hilang di ATM BRI) : ...
 Tanggal Pemblokiran : …
 Jam Pemblokiran : … wib",,8405
171,8409,TRUE,Resolution Center,Individu Umum,Servicing,Kartu Debit,Complaint - Non-Transaction,Kartu ATM Bank Lain Tertelan di ATM BRI,Nasabah Bank Lain Komplain Terkait Kartu Debit Tertelan di ATM BRI,,,,,Move to Resolution Center,,Very Low,0 ~ 2,,2.0,Perlu diskusi lanjutan antara CCT & POD,"T3.1 - DNR, T2.1 - Branch(Uker), Include Third Party",1,1,,2,,4,3,Done,LCC-CCTCALL,,,,1B,Regular Banking,"Nasabah Bank lain melaporkan Kartu ATM tertelan di mesin ATM BRI
 Bank Penerbit Kartu :
 Lokasi tertelan :
 sudah infokan :",,8409
172,8410,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Kegagalan TAC / Transfer Lainnya Lewat BRI,Nasabah Komplain Gagal Transfer sesama BRI,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,10.0,"Dekripsi belum final, Penambahan Call type terkait transaksi pindah buku (antar BRI)","T2.1 - NFT(ISSUER), include Branch(Uker)",1,7,,,,8,7,Partially Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi transfer :
 Ke Bank : BRI
 Nomor rekening : …
 Pemilik rekening : …
 Sebesar : Rp. …
 Sebanyak : … kali
 Yang gagal trx ke : _
 Tanggal : …
 Pukul : …
 Melalui :",,8410
173,8411,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Request,Salah Transfer antar BRI,Nasabah Mengajukan Permohonan Pengembalian Dana (Refund) akibat Salah Transfer antar BRI,,,1,"1. surat pernyataan (matrai)
2. ktp",Move to Resolution Center,,Medium,6 ~ 10,5.0,10.0,,"T2.1 - CRS, T2.2 - Branch(Uker)",1,2,5,,,8,7,Done,LCC-CRC,,,,1C,Regular Banking,"Nasabah melakukan transaksi transfer namun salah memasukkan nominal transfer :
 Ke Bank :
 Nomor rekening : …
 Pemilik rekening : …
 Nominal yang salah : Rp. …
 Sebanyak : … kali
 Salah nominal trx ke : _
 Tanggal : …
 Pukul : …
 Nominal yang benar : …
 Keterangan tambahan : ....
 
 Nasabah melakukan transaksi transfer namun salah memasukkan nomor rekening tujuan :
 Ke Bank : BRI
 Nomor rekening yang salah : …
 Pemilik rekening : …
 Sebesar : Rp. …
 Sebanyak : … kali
 Yang gagal trx ke : _
 Tanggal : …
 Pukul : …
 Nomor rekening yang benar : …
 Pemilik rekening : …
 Keterangan tambahan : ....",,8411
174,8412,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,"Nasabah BRI Gagal Transaksi Belanja di EDC BRI, Saldo Rekening Berkurang",Nasabah Komplain Gagal Pembayaran di EDC/QRIS BRI dan saldo berkurang,,,,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,6.0,9.0,,"T2.1 - NFT(ISSUER), T3.1 - FST(MCO), T4.1 - NFT(ISSUER), Include POD",1,1,,7,1,1,9,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah melaporkan gagal transaksi belanja di EDC BRI : tidak mendebet rekening / saldo sudah reversal.
 
 Sudah infokan agar dapat melakukan transaksi kembali
 
 Nasabah melakukan transaksi ritel dan terdebet di Mesin EDC BRI
 Nama merchant : (nama Toko serta wilayah)
 Lokasi transaksi
 Jumlah nominal : Rp. …
 Sebanyak : … kali
 Gagal di trx yang ke : _
 Tanggal : …
 Pukul : … wib
 Keterangan / Respon : (yang diterima dari mesin EDC)
 Nomor ponsel yang bisa dihubungi :
 Keterangan tambahan : …
 (Spt: nasabah sudah lakukan pembayaran cash/ dengan EDC Bank Lain)
 
 Mohon Bantuan tindak lanjut
 Terima kasih

Nasabah melaporkan gagal transaksi belanja di Qris BRI : tidak mendebet rekening / saldo sudah reversal.
 
 Sudah infokan agar dapat melakukan transaksi kembali
 
 Nasabah melakukan transaksi ritel dan terdebet di Qris BRI
 Nama merchant : (nama Toko serta wilayah)
 Lokasi transaksi
 Jumlah nominal : Rp. …
 Sebanyak : … kali
 Gagal di trx yang ke : _
 Tanggal : …
 Pukul : … wib
 Keterangan / Respon : (yang diterima dari Qris)
 Nomor ponsel yang bisa dihubungi :
 Keterangan tambahan : …
 (Spt: nasabah sudah lakukan pembayaran cash/ dengan Qris Bank Lain)
 
 Mohon Bantuan tindak lanjut
 Terima kasih",,8412
175,8413,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Link,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Link,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,5.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS",1,5,,,,6,5,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi tarik tunai :
 Nama Bank :
 Sebesar : Rp. …
 Sebanyak : … kali.
 Gagal di trx yang ke : _
 Tanggal : …
 Pukul : ....
 
 #partial
 
 Nasabah BRI komplain Gagal tarik tunai dan terdebet di mesin ATM BRI
 Channel yang digunakan : Kartu Debit/ BRImo
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi : (input pada kolom nominal sesuai nominal yang tercatat pada mutasi rekening/ CHS )
 - Partial
 Uang yang keluar:
 Uang yang tidak keluar:
 Berapa kali nasabah melakukan transaksi (menggunakan Kartu Debit atau melalui Aplikasi BRIMO) :
 Gagal transaksi ke :
 Lokasi transaksi:
 Nomor ponsel yang aktif digunakan :
 Media yang digunakan:
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :
 (wajib copy CHS )
 
 Nasabah gagal melakukan transaksi tarik tunai di mesin ATM Bank Lain namun Saldo berkurang
 Mesin ATM Bank :
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi :
 Berapa kali nasabah melakukan transaksi :
 Gagal transaksi ke :
 Nomor ponsel yang aktif digunakan :
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :
 (wajib copy CHS, jika terdapat transaksi)",,8413
176,8414,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Bersama,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Bersama,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,7.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include ARTAJASA",1,7,,,,8,7,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi tarik tunai :
 Nama Bank :
 Sebesar : Rp. …
 Sebanyak : … kali.
 Gagal di trx yang ke : _
 Tanggal : …
 Pukul : ....
 
 #partial
 
 Nasabah BRI komplain Gagal tarik tunai dan terdebet di mesin ATM BRI
 Channel yang digunakan : Kartu Debit/ BRImo
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi : (input pada kolom nominal sesuai nominal yang tercatat pada mutasi rekening/ CHS )
 - Partial
 Uang yang keluar:
 Uang yang tidak keluar:
 Berapa kali nasabah melakukan transaksi (menggunakan Kartu Debit atau melalui Aplikasi BRIMO) :
 Gagal transaksi ke :
 Lokasi transaksi:
 Nomor ponsel yang aktif digunakan :
 Media yang digunakan:
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :
 (wajib copy CHS )

 Nasabah gagal melakukan transaksi tarik tunai di mesin ATM Bank Lain namun Saldo berkurang
 Mesin ATM Bank :
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi :
 Berapa kali nasabah melakukan transaksi :
 Gagal transaksi ke :
 Nomor ponsel yang aktif digunakan :
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) : 
 (wajib copy CHS, jika terdapat transaksi)",,8414
177,8415,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Cirrus,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Cirrus,,,,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,7.0,45.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include CIRRUS",1,21,,,,22,21,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi tarik tunai :
 Nama Bank :
 Sebesar : Rp. …
 Sebanyak : … kali.
 Gagal di trx yang ke : _
 Tanggal : …
 Tanggal kadaluarsa kartu :
 
 
 (minta Nasabah untuk kirim dokumen berupa bagian belakang Kartu ATM, pojok kanan atas (tanpa memperlihatkan no CVV) -- Kirim ke alamat email : *contactbri@bri.co.id*)
 
 #partial
 
 Nasabah BRI komplain Gagal tarik tunai dan terdebet di mesin ATM BRI
 Channel yang digunakan : Kartu Debit/ BRImo
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi : (input pada kolom nominal sesuai nominal yang tercatat pada mutasi rekening/ CHS )
 - Partial
 Uang yang keluar:
 Uang yang tidak keluar:
 Berapa kali nasabah melakukan transaksi (menggunakan Kartu Debit atau melalui Aplikasi BRIMO) :
 Gagal transaksi ke :
 Lokasi transaksi:
 Nomor ponsel yang aktif digunakan :
 Media yang digunakan:
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :

 (wajib copy CHS )
 
 Nasabah gagal melakukan transaksi tarik tunai di mesin ATM Bank Lain namun Saldo berkurang
 Mesin ATM Bank :
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi :
 Berapa kali nasabah melakukan transaksi :
 Gagal transaksi ke :
 Nomor ponsel yang aktif digunakan :
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :
 
 (wajib copy CHS, jika terdapat transaksi)",,8415
178,8416,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,"Nasabah BRI Gagal Transaksi Belanja di EDC Bank Lain atau melalui QRIS BRImo, Saldo Rekening Berkurang",Nasabah Komplain Gagal Pembayaran di EDC/QRIS Bank Lain dan saldo berkurang,,,,,Move to Resolution Center,Stay in NFT,High,11 ~ 15,11.0,14.0,Untuk QRIS di buatkan Call Type Baru,T2.1 - NFT(ISSUER),1,1,,,,11,1,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal transaksi belanja dan terdebet :
 Nama merchant : (nama Toko)
 Lokasi Transaksi : (serta wilayah)
 Nominal transaksi : Rp. …
 Sebanyak : … kali
 Gagal di trx yang ke : _
 Tanggal transaksi : …
 Pukul : … wib
 Keterangan / Respon : (yang diterima dari mesin EDC)
 Keterangan tambahan : …
 
 Gagal saat transaksi melaui Direct BRI/ Debit Online
 Nama merchant :
 Jumlah nominal :
 Sebanyak Berapa Kali Transaksi :
 Saat transaksi gagal ke berapa :
 Tanggal transaksi :
 Pukul :
 Respon yang muncul saat transaksi :
 Keterangan Tambahan :
 Nomor ponsel yang bisa dihubungi:
 
 #QRIS Bank Lain
 
 Nasabah gagal transaksi belanja dan terdebet Qris bank lain :
 Nama merchant : (nama Toko)
 Lokasi Transaksi : (serta wilayah)
 Nominal transaksi : Rp. …
 Sebanyak : … kali
 Gagal di trx yang ke : _
 Tanggal transaksi : …
 Pukul : … wib
 Keterangan / Respon : (Yang muncul di aplikasi BRImo)
 Keterangan tambahan : …",,8416
179,8418,TRUE,Operational Risk,Individu Umum,Servicing,Transaction Solution,Fraud / Suspicious Transactions,sanggahan transaksi/tidak merasa bertransaksi (dengan kartu ),Nasabah Melaporkan Sanggahan Transaksi Kartu Debit,1.0,"1. Indikasi adanya fraud internal
2. Non Fraud Internal",,,No Change,,Low,3 ~ 5,2.0,10.0,Sub: indikasi adanya fraud internal,T2.1 - ORD(FBI),1,1,,,,11,1,Partially Done,LCC-FBI,,,,1B,Regular Banking,"Nasabah melaporkan Sanggahan Transaksi/Tidak Merasa Bertransaksi Dengan Kartu Debit.
 Mengetahui transaksi melalui : …… (SMS/ WA/email notifikasi/mutasi rekening)
 Saat terjadi transaksi Nasabah berada di : …… ( lokasi )
 Nominal Transaksi yang disanggah Rp……,-
 Sebanyak : …(kali )
 Tanggal : …
 Transaksi yang disanggah :
 Nama pemilik rekening tujuan : … (jika transaksi yang disanggah adalah transfer)
 No rekening tujuan : …
 Kartu dipegang nasabah : Ya/tidak
 Sudah jelaskan jenis transaksi yang disanggah
 
 (Copy transaksi yang dilaporkan dari CHS Settle Complain)",,8418
18,8419,TRUE,Operational Risk,Individu Umum,Servicing,Transaction Solution,Fraud / Suspicious Transactions,sanggahan transaksi/tidak merasa bertransaksi ( tanpa kartu ),Nasabah Melaporkan Sanggahan Transaksi Non-Kartu,1.0,"1. Indikasi adanya fraud internal
2. Non Fraud Internal",,,No Change,,Low,3 ~ 5,2.0,14.0,Sub: indikasi adanya fraud internal,T2.1 - ORD(FBI),1,1,,,,11,1,Partially Done,LCC-FBI,,,,1B,Regular Banking,"Nasabah melaporkan saldo berkurang, merasa tidak pernah melakukan transaksi.
 Tanggal transaksi :
 Nominal transaksi :
 Banyak Transaksi :
 Jenis Transaksi : 
 Yang disampaikan ke nasabah :
 sudah jelaskan jenis transaksi yang disanggah : .......
 Email Pelapor : ...
 ( Cek CHS dan kamus transaksi di Library )
 
 (Copy transaksi yang dimaksud)
 
 Nasabah melaporkan saldo berkurang, merasa tidak pernah melakukan transaksi.
 Saldo yang berkurang sebesar : Rp. …
 Transaksi yang tidak diakui : transfer ke ( sebutkan nama Bank serta Cabangnya )
 Nama pemilik rekening : …
 No rekening : …
 Sebanyak : …( berapa kali )
 Tanggal : …
 Layanan yang teregistrasi saat pelaporan :
 sudah jelaskan jenis transaksi yang disanggah : .......
 Email Pelapor : ...
 ( Cek CHS dan kamus transaksi di Library )
 
 Kantor bri yang dapat dikunjungi oleh nasabah :",,8419
181,8425,TRUE,Resolution Center,All,Servicing,Mobile Banking,Request,Pen-delete-an Status Registrasi Layanan yang Ada di BRI,Nasabah Mengajukan Penghapusan Layanan BRImo,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,Change GIC to CCT,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,LCC-CRC,,,,1A,Regular Banking,"Nasabah mengajukan penghapusan registrasi.
 Layanan : (Mobile Banking/Internet Banking/Sms Notifikasi)
 Nomor Ponsel/user ID : …
 Tanggal registrasi : …
 Alasan : …
 Registrasi sudah dihapuskan tanggal … pukul … Wib oleh … (agent)",,8425
182,8426,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah Link Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan LINK Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,,,,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,,,,"T2.1 - NFT(ACQUIRER), include Branch(Uker)",1,7,,,,8,7,Done,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah bank lain terdebet saat transaksi tarik tunai :
 Di terminal ATM BRI : (lokasi)",,8426
183,8427,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah ATM Bersama Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan BERSAMA Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,3.0,,,"T2.1 - NFT(ACQUIRER), include Branch(Uker)",1,7,,,,8,7,Done,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah bank lain terdebet saat transaksi tarik tunai :
 Di terminal ATM BRI : (lokasi)",,8427
184,8428,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah Prima Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan PRIMA Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,,,,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,,,,"T2.1 - NFT(ACQUIRER), include Branch(Uker)",1,7,,,,8,7,Done,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah bank lain terdebet saat transaksi tarik tunai :
 Di terminal ATM BRI : (lokasi)",,8428
185,8429,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah Cirrus Terdebet Tarik Tunai di ATM BRI,Nasabah Jaringan CIRRUS Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI,,,,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,,,,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,LCC-ACQ,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah bank lain terdebet saat transaksi tarik tunai :
 Di terminal ATM BRI : (lokasi)","Inquiry karena nasabah bank lain, dianjurkan untuk ke bank bersangkutan",8429
186,8431,TRUE,Resolution Center,Individu Umum,Transaction Banking,Transaction Solution,Complaint - Transaction,Selisih Kurs,Nasabah Komplain Terkait Selisih Kurs,,,,,,,,,,,Done,T1 - Agent CCT/Frontliner,1,,,,,1,,,LCC-CRC,,,,1A,Regular Banking,Nasabah meminta penjelasan selisih kurs BRI lebih mahal …,,8431
187,8433,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,"Pembayaran Tagihan Gagal, Saldo Berkurang",Nasabah Komplain Gagal Pembayaran Tagihan dan saldo berkurang,1.0,"1. Pembayaran non-BRIVA
2. Pembayaran BRIVA",,,Move to Resolution Center,Stay in NFT,Very Low,0 ~ 2,1.0,3.0,Sub: Pembayaran non-BRIVA diskusi dengan POD,"T2.1 - NFT(ISSUER), Include POD(RSP)",1,3,,,,4,3,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi :
 Pembayaran : (KK, BAF, PLN, BRIVA, Dompet Digital, dll)
 Nomor : ( ID pelanggan, nomor Kartu Kredit, BRIVA, No Ponsel DOmpet Digital, dll)
 Nominal : Rp. …
 Sebanyak : … kali
 Gagal di transaksi ke : _
 Tanggal : …
 Pukul : …
 Melalui : (BRImo, IB, ATM, EDC, Agent BRILink, dll)
 Keterangan / Respon : (apakah nsb sudah konfirmasi ke penyedia layanan)
 Keterangan tambahan : …
 
 Nasabah gagal melakukan transaksi :
 Pembayaran : (KK, BAF, PLN, BRIVA, Dompet Digital, dll)
 Nomor : ( ID pelanggan, nomor Kartu Kredit, BRIVA, No Ponsel DOmpet Digital, dll)
 Nominal : Rp. …
 Sebanyak : … kali
 Gagal di transaksi ke : _
 Tanggal : …
 Pukul : …
 Melalui : (BRImo, IB, ATM, EDC, Agent BRILink, dll)
 Keterangan / Respon : (apakah nsb sudah konfirmasi ke penyedia layanan)
 Keterangan tambahan : Sudah ada Reversal dana secara otomatis ke rekening/ Sudah sarankan konfirmasi ke penyedia layanan (BRIVA)/ Verifikasi Tidak Lolos/ Tidak ada transaksi yang dimaksud
 
 Nasabah melakukan transaksi BRImo Payment Gagal namun terdebet
 Di merchant : (nama Toko online)
 Sebesar : Rp. …
 Sebanyak : … kali
 Gagal di trx yang ke : _
 Tanggal : …
 Pukul : … wib
 Keterangan / Respon : (saat transaksi)
 Keterangan tambahan :",,8433
188,8434,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,"Pengisian Pulsa HP gagal, Saldo Berkurang",Nasabah Komplain Gagal Pembelian Pulsa dan saldo berkurang,1.0,"1. Provider Pulsa telkomsel
2. Provider Pulsa XL
3. Provider Pulsa Indosat
4. Lain-lain",,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,4.0,7.0,"Sub: Provider Pulsa (telkomsel,XL, etc)","T2.1 - NFT(ISSUER), Include POD(RSP)",1,6,,,,7,6,,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi :
 Pembelian pulsa : (nomor ponsel)
 Provider : _
 Sebesar : Rp. …
 Sebanyak : … kali
 Gagal di trx yang ke : _
 Tanggal : …
 Pukul : … wib
 Melalui : SMS Banking, IB, terminal ATM BRI (serta lokasinya)
 Keterangan / Respon : (yang diterima dari SMS Banking, IB, terminal ATM BRI)
 Keterangan tambahan :",,8434
189,8435,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal tarik tunai & terdebet di ATM Prima,Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Prima,,,,,Move to Resolution Center,Stay in NFT,Medium,6 ~ 10,5.0,6.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS",1,6,,,,7,6,Done,LCC-ISSUER,Agent,Supervisor,Manager,1B,Regular Banking,"Nasabah gagal melakukan transaksi tarik tunai :
 Nama Bank :
 Sebesar : Rp. …
 Sebanyak : … kali.
 Gagal di trx yang ke : _
 Tanggal : …
 
 Note :
 
 Mohon bantuannya untuk tindak lanjut.
 Terima kasih.
 
 (Copy transakdi dari CHS)
 
 #partial
 
 Nasabah BRI komplain Gagal tarik tunai dan terdebet di mesin ATM BRI
 Channel yang digunakan : Kartu Debit/ BRImo
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi : (input pada kolom nominal sesuai nominal yang tercatat pada mutasi rekening/ CHS )
 - Partial
 Uang yang keluar:
 Uang yang tidak keluar:
 Berapa kali nasabah melakukan transaksi (menggunakan Kartu Debit atau melalui Aplikasi BRIMO) :
 Gagal transaksi ke :
 Lokasi transaksi:
 Nomor ponsel yang aktif digunakan :
 Media yang digunakan:
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :
 
 
 (wajib copy CHS )
 
 Nasabah gagal melakukan transaksi tarik tunai di mesin ATM Bank Lain namun Saldo berkurang
 Mesin ATM Bank :
 Tanggal Transaksi :
 Pukul Transaksi:
 Nominal Transaksi :
 Berapa kali nasabah melakukan transaksi :
 Gagal transaksi ke :
 Nomor ponsel yang aktif digunakan :
 Tanyakan Keterangan gagal dari mesin (tampilan di layar) :
 
 (wajib copy CHS, jika terdapat transaksi)",,8435
19,8436,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal transfer & terdebet jaringan ATM Bersama,Nasabah Komplain Gagal Transfer & Saldo Berkurang di ATM/CRM Bersama,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,2.0,4.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include ARTAJASA",1,4,,,,5,4,Done,LCC-ISSUER,Agent,Supervisor,Manager,1C,Regular Banking,"Nasabah gagal melakukan transaksi transfer :
 Ke Bank : (BRI atau Bank Lain)
 Nomor rekening :
 Pemilik rekening :
 Sebesar : Rp.
 Sebanyak : kali
 Tanggal :
 Pukul : wib
 Melalui : Internet Banking, SMS Banking, terminal ATM BRI atau
 Bank lain )
 Keterangan / Respon :
 Keterangan tambahan :
 
 Note :
 
 Mohon bantuannya untuk tindak lanjut.
 Terima kasih.
 (Copy transaksi dari aplikasi CHS)
 ===========================================
 Nasabah melakukan transaksi salah transfer :
 Ke Bank : (BRI atau Bank Lain)
 Nomor rekening yang diketik :
 Pemilik rekening :
 Sebesar : Rp.
 Sebanyak : kali
 Tanggal :
 Pukul : wib
 Melalui : Internet Banking, SMS Banking, terminal ATM BRI atau
 Bank lain )
 
 No Rekening yang seharusnya :
 Pemilik Rekening :
 
 Keterangan / Respon :
 Keterangan tambahan :
 
 Note :
 
 Mohon bantuannya untuk tindak lanjut.
 Terima kasih.
 (Copy transaksi dari aplikasi CHS)
 
 Sarankan nasabah kirim Dokumen : KTP, bukti transfer (jika ada), surat pernyataan salah transfer (materai 10.000)
 ===========================================",,8436
191,8437,TRUE,Resolution Center,All,Transaction Banking,Transaction Solution,Complaint - Transaction,Nasabah BRI gagal transfer & terdebet jaringan ATM Prima,Nasabah Komplain Gagal Transfer & Saldo Berkurang di ATM/CRM Prima,,,,,Move to Resolution Center,Stay in NFT,Low,3 ~ 5,3.0,4.0,,"T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS",1,4,,,,5,4,Done,LCC-ISSUER,Agent,Supervisor,Manager,1C,Regular Banking,"Nasabah gagal melakukan transaksi transfer :
 Ke Bank : (BRI atau Bank Lain)
 Nomor rekening :
 Pemilik rekening :
 Sebesar : Rp.
 Sebanyak : kali
 Tanggal :
 Pukul : wib
 Melalui : Internet Banking, SMS Banking, terminal ATM BRI atau
 Bank lain )
 Keterangan / Respon :
 Keterangan tambahan :
 
 Note :
 
 Mohon bantuannya untuk tindak lanjut.
 Terima kasih.
 (Copy transaksi dari aplikasi CHS)
 ===========================================
 Nasabah melakukan transaksi salah transfer :
 Ke Bank : (BRI atau Bank Lain)
 Nomor rekening yang diketik :
 Pemilik rekening :
 Sebesar : Rp.
 Sebanyak : kali
 Tanggal :
 Pukul : wib
 Melalui : Internet Banking, SMS Banking, terminal ATM BRI atau
 Bank lain )
 
 No Rekening yang seharusnya :
 Pemilik Rekening :
 
 Keterangan / Respon :
 Keterangan tambahan :
 
 Note :
 
 Mohon bantuannya untuk tindak lanjut.
 Terima kasih.
 (Copy transaksi dari aplikasi CHS)
 
 Sarankan nasabah kirim Dokumen : KTP, bukti transfer (jika ada), surat pernyataan salah transfer (materai 10.000)
 ===========================================",,8437
